Últimos 31 días;Pasos/Día;Kilómetros;Calorías;Objetivo cumplido (6000 pasos)
11-09-2023;168;0.12;5;No
12-09-2023;7795;6.1;294;Sí
13-09-2023;7939;6.47;309;Sí
14-09-2023;5569;4.36;197;No
15-09-2023;11129;8.46;401;Sí
16-09-2023;7061;5.46;251;Sí
17-09-2023;4766;3.62;169;No
18-09-2023;2931;2.22;103;No
19-09-2023;1572;1.17;55;No
20-09-2023;7923;6.19;292;Sí
21-09-2023;10753;8.27;378;Sí
22-09-2023;8564;6.58;310;Sí
23-09-2023;1256;0.93;44;No
24-09-2023;2061;1.56;72;No
25-09-2023;801;0.59;28;No
26-09-2023;6744;5.17;239;Sí
27-09-2023;7913;6.1;282;Sí
28-09-2023;736;0.54;26;No
29-09-2023;10158;7.85;377;Sí
30-09-2023;2931;2.24;104;No
01-10-2023;1423;1.08;50;No
02-10-2023;1549;1.14;55;No
03-10-2023;531;0.39;18;No
04-10-2023;12129;9.29;427;Sí
05-10-2023;1882;1.43;67;No
06-10-2023;1815;1.36;64;No
07-10-2023;3016;2.33;106;No
08-10-2023;3681;2.85;130;No
09-10-2023;1058;0.79;37;No
10-10-2023;758;0.56;26;No
11-10-2023;15588;12.48;581;Sí
12-10-2023;481;0.35;17;No

